"","PerChgPriRel","rsi","macd","ema.20","sma.20","sma.50","dema.20"
"1996-08-29",1,68.7195918377222,2.56232118263082,21.2249125683575,21.4108030386191,19.8814436733794,21.9673587012227
"1996-08-30",1,65.5521154176194,2.51636731143801,21.2937150895694,21.4669076855694,19.9349679890283,22.0277019670678
"1996-09-03",1,67.4378368624617,2.51269678420061,21.3719557649712,21.527821052199,19.9999796254316,22.1068283128332
"1996-09-04",1,64.7128635811066,2.43595295259205,21.4313229651506,21.579151440776,20.0587671123932,22.1499208324262
"1996-09-05",1,58.5935290209977,2.24178371960682,21.4576233886809,21.5839486733532,20.1113197286179,22.1315789851243
"1996-09-06",1,64.3428578723823,2.23135222938806,21.5248225428123,21.6031376036624,20.1772908115367,22.1953911266657
"1996-09-09",1,68.5505332137963,2.34568071950767,21.624456517414,21.6535085457239,20.2504608065485,22.3213064512542
"1996-09-10",1,69.4636137483298,2.4412401410856,21.7237391279151,21.7110753366513,20.3250715029472,22.4440495251763
"1996-09-11",1,68.9248525187697,2.47762550484369,21.8112818552364,21.7938275986095,20.3896386432054,22.5421965870016
"1996-09-12",1,65.6354763800897,2.42462395626721,21.8767808011635,21.8513943895369,20.4570657436469,22.5973455571707
"1996-09-13",0,74.2408133054415,2.68971435089058,22.0251332143899,21.9593321225259,20.5489403508694,22.8112963675062
"1996-09-16",1,75.1016450725888,2.90470610671307,22.1707788086836,22.0816615532466,20.6456045326012,23.013843865864
"1996-09-17",1,76.2959662009795,3.09486958469158,22.3185441692545,22.2123861409777,20.7437140105606,23.2150097853153
"1996-09-18",1,77.4603147143754,3.26296972978348,22.4682274136001,22.3467086531417,20.8427905931034,23.4147430492059
"1996-09-19",1,73.0443653424335,3.28681533058037,22.5853799391422,22.4546463861306,20.9385075812285,23.5477463706569
"1996-09-20",1,70.8688852295953,3.23256367123024,22.6822374954378,22.5541889621093,21.0433040841378,23.6405830082186
"1996-09-23",1,73.0313650076194,3.23427901037683,22.7927144872162,22.6621266950982,21.1555279616544,23.7597443722935
"1996-09-24",0,72.4521617681499,3.18851895238339,22.8903854642646,22.7736623525201,21.2842478312928,23.853686244283
"1996-09-25",0,76.2984101536864,3.27016879088926,23.0221579763409,22.9151807135501,21.4034329687068,24.0129385739505
"1996-09-26",0,67.2509215149219,3.15562429869902,23.102545985451,23.0051288243742,21.5206793021131,24.0716985343879
"1996-09-27",0,67.9726771970753,3.05338989630086,23.1821311830896,23.0974755514869,21.6388866136485,24.1309891442769
"1996-09-30",1,66.9139088424214,2.92138417914427,23.2495680451652,23.194619511177,21.758047245245,24.1690728852602
"1996-10-01",1,63.7078923483443,2.73550093980779,23.2968759701557,23.2761724649908,21.8791114537364,24.1716113290425
"1996-10-02",0,68.3368743364522,2.69590752093825,23.3785131183917,23.3841101979797,22.0169384072037,24.2438025295981
"1996-10-03",1,64.6786682214081,2.57671324748248,23.4363845248715,23.4980444716903,22.1456689981373,24.2716252646828
"1996-10-04",1,68.094586227569,2.55803307594589,23.5184415228792,23.6047828965349,22.2352077852285,24.3483775713822
"1996-10-07",1,70.4610847683665,2.59316893443615,23.6155275333495,23.7031261643693,22.3285874216087,24.4542617771824
"1996-10-08",1,71.3756652661323,2.62140410256704,23.7125048429698,23.8014694322036,22.4205386095109,24.5591010103798
"1996-10-09",0,62.5164489036915,2.47705183051987,23.7614114784292,23.8806237697288,22.4942924775049,24.571628300073
